Date,StoreID,ProductID,QuantitySold,SalesPrice,HasPromotion,Category,ShelfLife,UnitPrice,Region,Size,FootfallCategory,Temperature,Rainfall,IsUnseasonablyWarm,CompetitorPriceIndex,PromoIntensity,DiscountPct,ExpectedUplift,DayOfWeek,IsWeekend,Month,Week,DayOfMonth,Lag7_Sales,Lag14_Sales,RollingMean7
2025-10-16,S001,SKU_BAN03,19,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,14.0,3.6,0,1.0,0.0,0.0,0.0,3,0,10,42,16,24.0,23.0,17.428571428571427
2025-10-17,S001,SKU_BAN03,22,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,13.6,0.0,0,1.0,0.0,0.0,0.0,4,0,10,42,17,14.0,20.0,18.571428571428573
2025-10-18,S001,SKU_BAN03,21,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,11.9,3.9,0,1.0,0.0,0.0,0.0,5,1,10,42,18,19.0,15.0,18.857142857142858
2025-10-19,S001,SKU_BAN03,22,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,12.4,5.6,0,1.0,0.0,0.0,0.0,6,1,10,42,19,20.0,21.0,19.142857142857142
2025-09-22,S001,SKU_BAN04,23,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,14.5,0.3,0,1.0,0.0,0.0,0.0,0,0,9,39,22,,,23.0
2025-09-23,S001,SKU_BAN04,23,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,20.1,2.1,0,1.0,0.0,0.0,0.0,1,0,9,39,23,,,23.0
2025-09-24,S001,SKU_BAN04,19,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,15.0,2.0,0,1.0,0.0,0.0,0.0,2,0,9,39,24,,,21.666666666666668
2025-09-25,S001,SKU_BAN04,18,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,15.4,1.8,0,1.0,0.0,0.0,0.0,3,0,9,39,25,,,20.75
2025-09-26,S001,SKU_BAN04,15,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,13.9,1.2,0,1.0,0.0,0.0,0.0,4,0,9,39,26,,,19.6
2025-09-27,S001,SKU_BAN04,27,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,14.9,2.2,0,1.0,0.0,0.0,0.0,5,1,9,39,27,,,20.833333333333332
2025-09-28,S001,SKU_BAN04,23,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,13.6,3.2,0,1.0,0.0,0.0,0.0,6,1,9,39,28,,,21.142857142857142
2025-09-29,S001,SKU_BAN04,19,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,14.5,4.3,0,1.0,0.0,0.2,1.3,0,0,9,40,29,23.0,,20.571428571428573
2025-09-30,S001,SKU_BAN04,14,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,9.7,3.6,0,1.0,0.0,0.2,1.3,1,0,9,40,30,23.0,,19.285714285714285
2025-10-01,S001,SKU_BAN04,22,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,17.5,0.0,0,1.0,0.0,0.2,1.3,2,0,10,40,1,19.0,,19.714285714285715
2025-10-02,S001,SKU_BAN04,16,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,14.3,1.4,0,1.0,0.0,0.2,1.3,3,0,10,40,2,18.0,,19.428571428571427
2025-10-03,S001,SKU_BAN04,25,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,12.2,0.8,0,1.0,0.0,0.2,1.3,4,0,10,40,3,15.0,,20.857142857142858
2025-10-04,S001,SKU_BAN04,19,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,12.8,5.6,0,1.0,0.0,0.2,1.3,5,1,10,40,4,27.0,,19.714285714285715
2025-10-05,S001,SKU_BAN04,26,0.85,1,Bananas,7,1.063568186673161,North West,Extra,Medium,16.9,4.9,0,1.0,0.0,0.2,1.3,6,1,10,40,5,23.0,,20.142857142857142
2025-10-06,S001,SKU_BAN04,16,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,16.4,0.3,0,1.0,0.0,0.0,0.0,0,0,10,41,6,19.0,23.0,19.714285714285715
2025-10-07,S001,SKU_BAN04,19,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,14.0,2.7,0,1.0,0.0,0.0,0.0,1,0,10,41,7,14.0,23.0,20.428571428571427
2025-10-08,S001,SKU_BAN04,19,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,12.6,3.1,0,1.0,0.0,0.0,0.0,2,0,10,41,8,22.0,19.0,20.0
2025-10-09,S001,SKU_BAN04,14,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,14.5,1.4,0,1.0,0.0,0.0,0.0,3,0,10,41,9,16.0,18.0,19.714285714285715
2025-10-10,S001,SKU_BAN04,21,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,16.4,2.7,0,1.0,0.0,0.0,0.0,4,0,10,41,10,25.0,15.0,19.142857142857142
2025-10-11,S001,SKU_BAN04,15,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,14.3,4.7,0,1.0,0.0,0.0,0.0,5,1,10,41,11,19.0,27.0,18.571428571428573
2025-10-12,S001,SKU_BAN04,13,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,12.8,3.9,0,1.0,0.0,0.0,0.0,6,1,10,41,12,26.0,23.0,16.714285714285715
2025-10-13,S001,SKU_BAN04,17,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,16.2,1.5,0,1.0,0.0,0.0,0.0,0,0,10,42,13,16.0,19.0,16.857142857142858
2025-10-14,S001,SKU_BAN04,25,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,15.7,0.1,0,1.0,0.0,0.0,0.0,1,0,10,42,14,19.0,14.0,17.714285714285715
2025-10-15,S001,SKU_BAN04,21,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,16.8,1.7,0,1.0,0.0,0.0,0.0,2,0,10,42,15,19.0,22.0,18.0
2025-10-16,S001,SKU_BAN04,16,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,14.0,3.6,0,1.0,0.0,0.0,0.0,3,0,10,42,16,14.0,16.0,18.285714285714285
2025-10-17,S001,SKU_BAN04,26,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,13.6,0.0,0,1.0,0.0,0.0,0.0,4,0,10,42,17,21.0,25.0,19.0
2025-10-18,S001,SKU_BAN04,18,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,11.9,3.9,0,1.0,0.0,0.0,0.0,5,1,10,42,18,15.0,19.0,19.428571428571427
2025-10-19,S001,SKU_BAN04,20,1.06,0,Bananas,7,1.063568186673161,North West,Extra,Medium,12.4,5.6,0,1.0,0.0,0.0,0.0,6,1,10,42,19,13.0,26.0,20.428571428571427
2025-09-22,S001,SKU_BER01,14,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.5,0.3,0,1.0,0.0,0.0,0.0,0,0,9,39,22,,,14.0
2025-09-23,S001,SKU_BER01,9,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,20.1,2.1,0,1.0,0.0,0.0,0.0,1,0,9,39,23,,,11.5
2025-09-24,S001,SKU_BER01,10,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,15.0,2.0,0,1.0,0.0,0.0,0.0,2,0,9,39,24,,,11.0
2025-09-25,S001,SKU_BER01,10,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,15.4,1.8,0,1.0,0.0,0.0,0.0,3,0,9,39,25,,,10.75
2025-09-26,S001,SKU_BER01,14,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,13.9,1.2,0,1.0,0.0,0.0,0.0,4,0,9,39,26,,,11.4
2025-09-27,S001,SKU_BER01,14,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.9,2.2,0,1.0,0.0,0.0,0.0,5,1,9,39,27,,,11.833333333333334
2025-09-28,S001,SKU_BER01,7,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,13.6,3.2,0,1.0,0.0,0.0,0.0,6,1,9,39,28,,,11.142857142857142
2025-09-29,S001,SKU_BER01,7,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.5,4.3,0,1.0,0.0,0.0,0.0,0,0,9,40,29,14.0,,10.142857142857142
2025-09-30,S001,SKU_BER01,12,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,9.7,3.6,0,1.0,0.0,0.0,0.0,1,0,9,40,30,9.0,,10.571428571428571
2025-10-01,S001,SKU_BER01,15,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,17.5,0.0,0,1.0,0.0,0.0,0.0,2,0,10,40,1,10.0,,11.285714285714286
2025-10-02,S001,SKU_BER01,5,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.3,1.4,0,1.0,0.0,0.0,0.0,3,0,10,40,2,10.0,,10.571428571428571
2025-10-03,S001,SKU_BER01,7,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,12.2,0.8,0,1.0,0.0,0.0,0.0,4,0,10,40,3,14.0,,9.571428571428571
2025-10-04,S001,SKU_BER01,16,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,12.8,5.6,0,1.0,0.0,0.0,0.0,5,1,10,40,4,14.0,,9.857142857142858
2025-10-05,S001,SKU_BER01,10,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,16.9,4.9,0,1.0,0.0,0.0,0.0,6,1,10,40,5,7.0,,10.285714285714286
2025-10-06,S001,SKU_BER01,7,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,16.4,0.3,0,1.0,0.0,0.0,0.0,0,0,10,41,6,7.0,14.0,10.285714285714286
2025-10-07,S001,SKU_BER01,13,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.0,2.7,0,1.0,0.0,0.0,0.0,1,0,10,41,7,12.0,9.0,10.428571428571429
2025-10-08,S001,SKU_BER01,11,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,12.6,3.1,0,1.0,0.0,0.0,0.0,2,0,10,41,8,15.0,10.0,9.857142857142858
2025-10-09,S001,SKU_BER01,8,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.5,1.4,0,1.0,0.0,0.0,0.0,3,0,10,41,9,5.0,10.0,10.285714285714286
2025-10-10,S001,SKU_BER01,11,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,16.4,2.7,0,1.0,0.0,0.0,0.0,4,0,10,41,10,7.0,14.0,10.857142857142858
2025-10-11,S001,SKU_BER01,11,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,14.3,4.7,0,1.0,0.0,0.0,0.0,5,1,10,41,11,16.0,14.0,10.142857142857142
2025-10-12,S001,SKU_BER01,7,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,12.8,3.9,0,1.0,0.0,0.0,0.0,6,1,10,41,12,10.0,7.0,9.714285714285714
2025-10-13,S001,SKU_BER01,8,2.56,0,Berries,5,2.555269907953647,North West,Extra,Medium,16.2,1.5,0,1.0,0.0,0.0,0.0,0,0,10,42,13,7.0,7.0,9.857142857142858
